id,date_observed,time_observed,latitude,longitude,common_name
331,19/12/2022,10:16:25,1.321176615,103.8157609,Red Junglefowl
332,14/01/2023,07:29:11,1.447998648,103.7245443,Red Junglefowl
333,26/12/2022,01:00:28,1.284825897,103.8482477,Red Junglefowl
334,16/01/2023,01:33:05,1.322311558,103.8149267,Red Junglefowl
335,21/01/2023,05:08:13,1.245553948,103.8262772,Red Junglefowl
336,26/01/2023,10:17:08,1.423990697,103.8379538,Red Junglefowl
337,26/01/2023,10:16:28,1.423990697,103.8379538,Red Junglefowl
338,30/01/2023,05:58:24,1.30766318,103.7728482,Red Junglefowl
339,01/02/2023,06:50:00,1.266509369,103.8020649,Red Junglefowl
340,01/02/2023,01:55:12,1.283885109,103.7912945,Red Junglefowl
341,04/02/2023,02:27:42,1.309453087,103.8145998,Red Junglefowl
342,05/02/2023,03:53:50,1.3607419,103.81261,Red Junglefowl
343,05/02/2023,10:52:29,1.314826489,103.758891,Red Junglefowl
344,05/02/2023,10:51:54,1.314826489,103.758891,Red Junglefowl
345,05/02/2023,10:51:48,1.314826489,103.758891,Red Junglefowl
346,10/02/2023,09:28:19,1.288671645,103.7881798,Red Junglefowl
347,10/02/2023,04:56:54,1.298969037,103.7752995,Red Junglefowl
348,11/02/2023,03:28:19,1.306931798,103.8188843,Red Junglefowl
349,08/02/2023,02:41:41,1.319977986,103.8163473,Red Junglefowl
350,11/02/2023,04:27:45,1.313839696,103.8159135,Red Junglefowl
351,13/02/2023,07:23:29,1.296992421,103.7720741,Red Junglefowl
352,30/11/2022,23:30:57,1.380117533,103.9541448,Red Junglefowl
353,17/02/2023,01:39:48,1.313839696,103.8159135,Red Junglefowl
354,20/02/2023,04:54:51,1.3066354,103.818909,Red Junglefowl
355,23/02/2023,05:38:59,1.2812231,103.8649243,Red Junglefowl
356,25/02/2023,03:52:09,1.325086111,103.8139722,Red Junglefowl
357,05/03/2023,11:06:55,1.365370623,103.9491254,Red Junglefowl
358,06/03/2023,06:28:30,1.423990697,103.8379538,Red Junglefowl
359,07/03/2023,01:03:26,1.291360214,103.7666534,Red Junglefowl
360,11/02/2023,,1.309482919,103.8138706,Red Junglefowl
361,10/03/2023,17:56:07,1.295405278,103.7708892,Red Junglefowl
362,11/03/2023,05:09:19,1.278061111,103.8416556,Red Junglefowl
363,15/03/2023,01:48:43,1.423990697,103.8379538,Red Junglefowl
364,17/03/2023,05:40:05,1.318280933,103.8926484,Red Junglefowl
365,27/01/2023,19:37:28,1.313948632,103.8152369,Red Junglefowl
366,31/03/2023,10:10:13,1.294898487,103.7958559,Red Junglefowl
367,31/03/2023,10:46:00,1.28433326,103.8062649,Red Junglefowl
368,03/04/2023,08:30:25,1.423990697,103.8379538,Red Junglefowl
369,05/04/2023,09:53:29,1.295266667,103.848925,Red Junglefowl
370,07/04/2023,09:55:00,1.264286696,103.8057043,Red Junglefowl
371,13/04/2023,11:03:47,1.283189585,103.7845695,Red Junglefowl
372,14/04/2023,03:20:03,1.423990697,103.8379538,Red Junglefowl
373,16/04/2023,01:51:35,1.310432508,103.8159175,Red Junglefowl
374,23/04/2023,04:05:42,1.365938889,103.8378806,Red Junglefowl
375,27/05/2022,01:52:25,1.296305556,103.8498722,Red Junglefowl
376,30/04/2023,09:53:44,1.303345609,103.7706445,Red Junglefowl
377,30/04/2023,10:07:58,1.304009284,103.8584107,Red Junglefowl
378,30/04/2023,08:49:13,1.301386426,103.7715521,Red Junglefowl
379,01/05/2023,05:27:50,1.3784104,103.7615165,Red Junglefowl
380,02/05/2023,05:42:50,1.423990697,103.8379538,Red Junglefowl
381,02/05/2023,05:42:46,1.423990697,103.8379538,Red Junglefowl
382,04/05/2023,10:10:12,1.423990697,103.8379538,Red Junglefowl
383,06/05/2023,04:01:06,1.281904459,103.8239182,Red Junglefowl
384,03/05/2023,06:16:54,1.334303174,103.8563263,Red Junglefowl
385,08/05/2023,08:04:57,1.307057829,103.8173035,Red Junglefowl
386,13/05/2023,01:36:53,1.288625054,103.7709449,Red Junglefowl
387,17/05/2023,10:49:45,1.423990697,103.8379538,Red Junglefowl
